"filename", "language", "CSS", "JavaScript", "XML", "Markdown", "JSON", "JSON with Comments", "comment", "blank", "total"
"d:\Project\AdminPanel\admin-pannel\src\components\servicesManagement\beneficiaries\addNewBeneficiaries\AddNewDiscountForm.js", "JavaScript", 0, 119, 0, 0, 0, 0, 0, 3, 122
"d:\Project\AdminPanel\admin-pannel\src\components\servicesManagement\editServiceGroup\EditServiceGroupMobileForm.js", "JavaScript", 0, 197, 0, 0, 0, 0, 0, 3, 200
"d:\Project\AdminPanel\admin-pannel\src\components\servicesManagement\editServiceGroup\EditServiceGroupTabletForm.js", "JavaScript", 0, 209, 0, 0, 0, 0, 0, 3, 212
"d:\Project\AdminPanel\admin-pannel\src\components\servicesManagement\editService\EditServiceMobileForm.js", "JavaScript", 0, 271, 0, 0, 0, 0, 0, 4, 275
"d:\Project\AdminPanel\admin-pannel\src\components\servicesManagement\editService\EditServiceTabletForm.js", "JavaScript", 0, 275, 0, 0, 0, 0, 0, 3, 278
"d:\Project\AdminPanel\admin-pannel\src\components\servicesManagement\serviceGroupDetails\DesktopServiceGroupDetailsTable.js", "JavaScript", 0, 155, 0, 0, 0, 0, 0, 2, 157
"d:\Project\AdminPanel\admin-pannel\src\components\servicesManagement\serviceGroupDetails\FileUploadModal\FileUploadModal.js", "JavaScript", 0, 147, 0, 0, 0, 0, 0, 3, 150
"d:\Project\AdminPanel\admin-pannel\src\components\servicesManagement\serviceGroupDetails\MobileServiceGroupDetailsTable.js", "JavaScript", 0, 227, 0, 0, 0, 0, 0, 2, 229
"d:\Project\AdminPanel\admin-pannel\src\components\servicesManagement\serviceGroupDetails\TabletServiceGroupDetailsTable.js", "JavaScript", 0, 225, 0, 0, 0, 0, 0, 3, 228
"d:\Project\AdminPanel\admin-pannel\src\components\signInForm\SignInForm.js", "JavaScript", 0, 261, 0, 0, 0, 0, 0, 5, 266
"d:\Project\AdminPanel\admin-pannel\src\components\tickets\TicketsTable.js", "JavaScript", 0, 206, 0, 0, 0, 0, 1, 2, 209
"d:\Project\AdminPanel\admin-pannel\src\components\userManagement\NewRequests\DesktopNewRequestTable.js", "JavaScript", 0, 114, 0, 0, 0, 0, 0, 2, 116
"d:\Project\AdminPanel\admin-pannel\src\components\userManagement\NewRequests\MobileNewRequestTable.js", "JavaScript", 0, 119, 0, 0, 0, 0, 0, 2, 121
"d:\Project\AdminPanel\admin-pannel\src\components\userManagement\NewRequests\TabletNewRequestTable.js", "JavaScript", 0, 119, 0, 0, 0, 0, 0, 2, 121
"d:\Project\AdminPanel\admin-pannel\src\components\userManagement\NewRequests\newRequestDetails\MobileNewRequestDetailsForm.js", "JavaScript", 0, 149, 0, 0, 0, 0, 0, 3, 152
"d:\Project\AdminPanel\admin-pannel\src\components\userManagement\NewRequests\newRequestDetails\TabletNewRequestDetailsForm.js", "JavaScript", 0, 181, 0, 0, 0, 0, 0, 3, 184
"d:\Project\AdminPanel\admin-pannel\src\components\userManagement\NewRequests\newRequestDetails\checkNewRequest\AcceptNewRequestModal.js", "JavaScript", 0, 100, 0, 0, 0, 0, 0, 3, 103
"d:\Project\AdminPanel\admin-pannel\src\components\userManagement\NewRequests\newRequestDetails\checkNewRequest\RejectNewRequestModal.js", "JavaScript", 0, 124, 0, 0, 0, 0, 0, 2, 126
"d:\Project\AdminPanel\admin-pannel\src\components\userManagement\ShowUser\ShowUser\ShowUser.js", "JavaScript", 0, 13, 0, 0, 0, 0, 0, 2, 15
"d:\Project\AdminPanel\admin-pannel\src\components\userManagement\ShowUser\ShowUser\ShowUserDesktopTable.js", "JavaScript", 0, 111, 0, 0, 0, 0, 0, 2, 113
"d:\Project\AdminPanel\admin-pannel\src\components\userManagement\ShowUser\ShowUser\ShowUserMobileTable.js", "JavaScript", 0, 170, 0, 0, 0, 0, 0, 2, 172
"d:\Project\AdminPanel\admin-pannel\src\components\userManagement\ShowUser\ShowUser\ShowUserTabletTable.js", "JavaScript", 0, 170, 0, 0, 0, 0, 0, 2, 172
"d:\Project\AdminPanel\admin-pannel\src\components\userManagement\ShowUser\userInfoDetail\MobileUserInfoDetailsForm.js", "JavaScript", 0, 130, 0, 0, 0, 0, 8, 3, 141
"d:\Project\AdminPanel\admin-pannel\src\components\userManagement\ShowUser\userInfoDetail\TabletUserInfoDetailsForm.js", "JavaScript", 0, 151, 0, 0, 0, 0, 8, 2, 161
"d:\Project\AdminPanel\admin-pannel\src\components\userManagement\ShowUser\userServices\DesktopUserServicesTable.js", "JavaScript", 0, 129, 0, 0, 0, 0, 0, 2, 131
"d:\Project\AdminPanel\admin-pannel\src\components\userManagement\ShowUser\userServices\MobileUserServiceTable.js", "JavaScript", 0, 136, 0, 0, 0, 0, 0, 2, 138
"d:\Project\AdminPanel\admin-pannel\src\components\userManagement\ShowUser\userServices\TabletUserServiceTable.js", "JavaScript", 0, 136, 0, 0, 0, 0, 0, 2, 138
